crash_id,crash_event,crash_type,number_fatalities
754,20242149,Multiple,1
755,20243237,Multiple,1
756,20241120,Multiple,1
757,20242266,Single,1
758,20245155,Single,1
759,20241048,Single,1
760,20247040,Single,1
761,20243023,Multiple,1
762,20243137,Multiple,1
763,20241200,Single,1
764,20242106,Single,1
765,20242151,Multiple,2
766,20242223,Multiple,1
767,20241259,Multiple,1
768,20241264,Single,1
769,20245123,Single,1
770,20243086,Multiple,1
771,20242215,Multiple,1
772,20245021,Single,1
773,20246012,Multiple,1
774,20244068,Multiple,1
775,20245144,Single,1
776,20241296,Multiple,1
777,20241006,Multiple,2
778,20241258,Single,1
779,20241290,Single,2
780,20241056,Single,1
781,20242014,Single,1
782,20241251,Single,1
783,20245042,Single,1
784,20243076,Multiple,1
785,20243162,Single,1
786,20245071,Single,1
787,20242027,Multiple,1
788,20243029,Multiple,2
789,20242179,Multiple,1
790,20244080,Single,1
791,20242241,Multiple,1
792,20244047,Multiple,1
793,20241041,Multiple,1
794,20241165,Single,1
795,20242077,Single,1
796,20242078,Multiple,1
797,20245038,Single,1
798,20242017,Single,1
799,20247015,Single,1
800,20245114,Single,4
801,20243223,Single,1
802,20245055,Single,1
803,20241271,Multiple,1
804,20242217,Multiple,1
805,20242245,Single,1
806,20241170,Multiple,1
807,20242199,Single,1
808,20241177,Multiple,1
809,20245113,Single,1
810,20246015,Single,1
811,20242165,Multiple,1
812,20241011,Single,1
813,20243260,Single,3
814,20241083,Multiple,2
815,20246006,Multiple,1
816,20245129,Single,1
817,20244058,Single,1
818,20243218,Multiple,1
819,20241089,Single,1
820,20243146,Single,1
821,20241295,Multiple,1
822,20243264,Single,1
823,20241281,Multiple,1
824,20241136,Multiple,2
825,20241076,Single,1
826,20244073,Multiple,1
827,20242094,Single,1
828,20245090,Single,1
829,20241058,Single,1
830,20241019,Single,1
831,20241275,Single,1
832,20243222,Multiple,1
833,20241065,Multiple,1
834,20243094,Multiple,1
835,20243145,Single,1
836,20241305,Single,1
837,20242146,Multiple,2
838,20241231,Single,1
839,20241145,Multiple,1
840,20241228,Single,1
841,20243030,Multiple,1
842,20243034,Single,1
843,20245073,Single,1
844,20242058,Multiple,1
845,20241085,Single,1
846,20243091,Multiple,1
847,20247003,Single,1
848,20243184,Multiple,1
849,20242104,Single,1
850,20248004,Single,1
851,20242101,Multiple,1
852,20245153,Single,1
853,20243195,Single,1
854,20243055,Multiple,1
855,20245077,Single,1
856,20241212,Single,1
857,20241241,Single,1
858,20243071,Single,1
859,20241171,Single,1
860,20243193,Multiple,2
861,20244011,Multiple,3
862,20242225,Multiple,1
863,20242160,Single,1
864,20245036,Single,1
865,20245057,Single,1
866,20241183,Single,1
867,20245131,Single,1
868,20241025,Multiple,1
869,20241079,Multiple,2
870,20246010,Single,1
871,20245094,Single,1
872,20242235,Multiple,1
873,20242113,Multiple,1
874,20241148,Single,1
875,20242025,Multiple,1
876,20241262,Single,1
877,20241172,Single,1
878,20242192,Multiple,1
879,20241014,Single,1
880,20242191,Multiple,1
881,20243189,Multiple,1
882,20244033,Single,1
883,20245047,Single,1
884,20241206,Multiple,1
885,20243069,Multiple,1
886,20243188,Single,1
887,20241130,Multiple,1
888,20247012,Multiple,1
889,20241178,Single,2
890,20248011,Single,1
891,20245097,Single,1
892,20241043,Single,1
893,20244054,Multiple,1
894,20243032,Multiple,1
895,20243232,Multiple,1
896,20244015,Single,1
897,20243112,Multiple,1
898,20243253,Single,1
899,20246028,Single,1
900,20242244,Single,1
901,20244006,Single,1
902,20247016,Single,1
903,20241146,Multiple,1
904,20241154,Single,1
905,20242009,Single,1
906,20241217,Single,1
907,20242030,Single,1
908,20243025,Multiple,1
909,20245159,Single,1
910,20242168,Single,1
911,20246021,Single,1
912,20245167,Single,1
913,20241238,Single,1
914,20241158,Single,1
915,20243228,Single,1
916,20242210,Single,1
917,20242253,Single,1
918,20245048,Single,1
919,20245032,Single,1
920,20242256,Multiple,1
921,20241289,Single,1
922,20243045,Multiple,3
923,20242028,Single,1
924,20243054,Single,1
925,20241187,Multiple,1
926,20245035,Single,1
927,20245108,Single,1
928,20246007,Single,1
929,20241126,Multiple,1
930,20244049,Single,1
931,20242021,Single,1
932,20242045,Multiple,1
933,20243101,Single,1
934,20242206,Single,1
935,20242117,Single,1
936,20245072,Single,1
937,20241226,Multiple,1
938,20242079,Single,1
